hour_of_day,cash_type,money,Bean,coffee_name,Time_of_Day,Weekday,Month_name,Weekdaysort,Monthsort,Date,Time
19,card,46293,Liberica,Cortado,Night,Thu,Mar,4,3,45365,19:00:08.663000
10,card,38.7,Liberica,Hot Chocolate,Morning,Fri,Mar,5,3,45366,10:53:02.180000
18,card,46293,Excelsa,Americano,Night,Fri,Mar,5,3,45366,18:19:27.922000
12,card,33.8,Arabica,Americano with Milk,Afternoon,Sat,Mar,6,3,45367,12:06:55.209000
12,card,46293,Arabica,Americano,Afternoon,Sat,Mar,6,3,45367,12:07:53.915000
15,card,46293,Arabica,Cortado,Afternoon,Sat,Mar,6,3,45367,15:58:18.458000
16,card,46293,Liberica,Cortado,Afternoon,Sat,Mar,6,3,45367,16:03:21.738000
16,card,46293,Arabica,Cortado,Afternoon,Sat,Mar,6,3,45367,16:04:11.444000
17,card,33.8,Arabica,Americano with Milk,Night,Sat,Mar,6,3,45367,17:58:07.241000
12,card,46293,Liberica,Cortado,Afternoon,Sun,Mar,7,3,45368,12:55:26.065000
11,card,46293,Robusta,Cortado,Morning,Mon,Mar,1,3,45369,11:17:59.671000
15,card,46293,Robusta,Americano,Afternoon,Mon,Mar,1,3,45369,15:31:39.725000
15,card,46293,Excelsa,Americano,Afternoon,Mon,Mar,1,3,45369,15:32:38.239000
15,card,46293,Liberica,Americano,Afternoon,Mon,Mar,1,3,45369,15:33:36.708000
14,card,38.7,Arabica,Latte,Afternoon,Tue,Mar,2,3,45370,14:02:21.536000
14,card,38.7,Excelsa,Latte,Afternoon,Tue,Mar,2,3,45370,14:03:19.765000
15,card,38.7,Arabica,Hot Chocolate,Afternoon,Tue,Mar,2,3,45370,15:04:36.309000
16,card,33.8,Arabica,Americano with Milk,Afternoon,Tue,Mar,2,3,45370,16:53:48.706000
11,card,46293,Liberica,Cortado,Morning,Wed,Mar,3,3,45371,11:41:16.403000
12,card,46293,Robusta,Cortado,Afternoon,Wed,Mar,3,3,45371,12:30:48.968000
13,card,38.7,Robusta,Cappuccino,Afternoon,Wed,Mar,3,3,45371,13:16:47.394000
16,card,38.7,Arabica,Cocoa,Afternoon,Wed,Mar,3,3,45371,16:42:38.117000
17,card,38.7,Excelsa,Latte,Night,Wed,Mar,3,3,45371,17:50:28.781000
12,card,46293,Liberica,Cortado,Afternoon,Thu,Mar,4,3,45372,12:25:09.194000
12,card,38.7,Excelsa,Cappuccino,Afternoon,Thu,Mar,4,3,45372,12:26:17.428000
17,card,46293,Robusta,Cortado,Night,Thu,Mar,4,3,45372,17:22:01.353000
19,card,38.7,Liberica,Latte,Night,Thu,Mar,4,3,45372,19:20:36.508000
10,card,33.8,Excelsa,Americano with Milk,Morning,Fri,Mar,5,3,45373,10:35:53.619000
13,card,33.8,Liberica,Americano with Milk,Afternoon,Fri,Mar,5,3,45373,13:29:20.343000
17,card,46293,Liberica,Americano,Night,Fri,Mar,5,3,45373,17:17:03.724000
17,card,24.0,Robusta,Espresso,Night,Fri,Mar,5,3,45373,17:17:58.991000
17,card,46293,Excelsa,Americano,Night,Fri,Mar,5,3,45373,17:20:49.490000
10,card,38.7,Robusta,Latte,Morning,Sat,Mar,6,3,45374,10:43:59.559000
10,card,33.8,Robusta,Americano with Milk,Morning,Sat,Mar,6,3,45374,10:45:07.157000
13,card,38.7,Excelsa,Cappuccino,Afternoon,Sat,Mar,6,3,45374,13:10:07.661000
13,card,38.7,Robusta,Cocoa,Afternoon,Sat,Mar,6,3,45374,13:11:12.230000
14,card,33.8,Excelsa,Americano with Milk,Afternoon,Sat,Mar,6,3,45374,14:44:41.276000
15,card,38.7,Arabica,Latte,Afternoon,Sat,Mar,6,3,45374,15:47:19.062000
15,card,33.8,Liberica,Americano with Milk,Afternoon,Sat,Mar,6,3,45374,15:49:33.813000
16,card,46293,Excelsa,Cortado,Afternoon,Sat,Mar,6,3,45374,16:00:58.386000
18,card,38.7,Liberica,Latte,Night,Sun,Mar,7,3,45375,18:45:08.397000
10,card,38.7,Robusta,Latte,Morning,Mon,Mar,1,3,45376,10:31:47.250000
14,card,38.7,Arabica,Latte,Afternoon,Mon,Mar,1,3,45376,14:27:09.163000
14,card,38.7,Robusta,Latte,Afternoon,Mon,Mar,1,3,45376,14:29:25.343000
18,card,33.8,Liberica,Americano with Milk,Night,Mon,Mar,1,3,45376,18:37:30.650000
19,card,38.7,Robusta,Cappuccino,Night,Mon,Mar,1,3,45376,19:34:24.542000
10,card,38.7,Liberica,Cocoa,Morning,Tue,Mar,2,3,45377,10:35:49.679000
10,card,38.7,Liberica,Latte,Morning,Tue,Mar,2,3,45377,10:36:36.151000
10,card,38.7,Robusta,Latte,Morning,Tue,Mar,2,3,45377,10:42:30.170000
11,card,46293,Liberica,Cortado,Morning,Tue,Mar,2,3,45377,11:11:47.335000
13,card,46293,Excelsa,Americano,Afternoon,Tue,Mar,2,3,45377,13:35:52.773000
13,card,46293,Robusta,Cortado,Afternoon,Tue,Mar,2,3,45377,13:36:49.644000
13,card,46293,Excelsa,Cortado,Afternoon,Tue,Mar,2,3,45377,13:37:59.723000
13,card,46293,Arabica,Americano,Afternoon,Tue,Mar,2,3,45377,13:57:53.677000
15,card,38.7,Liberica,Latte,Afternoon,Tue,Mar,2,3,45377,15:48:02.270000
18,card,38.7,Robusta,Latte,Night,Tue,Mar,2,3,45377,18:33:38.568000
18,card,38.7,Robusta,Hot Chocolate,Night,Tue,Mar,2,3,45377,18:34:54.648000
11,card,46293,Robusta,Cortado,Morning,Wed,Mar,3,3,45378,11:04:51.174000
11,card,33.8,Robusta,Americano with Milk,Morning,Wed,Mar,3,3,45378,11:05:58.236000
12,card,33.8,Robusta,Americano with Milk,Afternoon,Wed,Mar,3,3,45378,12:57:00.462000
13,card,38.7,Excelsa,Hot Chocolate,Afternoon,Wed,Mar,3,3,45378,13:35:20.039000
14,card,38.7,Liberica,Cappuccino,Afternoon,Wed,Mar,3,3,45378,14:22:31.662000
14,card,46293,Liberica,Americano,Afternoon,Wed,Mar,3,3,45378,14:23:35.380000
18,card,46293,Arabica,Cortado,Night,Wed,Mar,3,3,45378,18:30:11.833000
14,card,46293,Robusta,Cortado,Afternoon,Thu,Mar,4,3,45379,14:24:47.092000
17,card,46293,Liberica,Cortado,Night,Thu,Mar,4,3,45379,17:24:46.244000
17,card,46293,Excelsa,Americano,Night,Thu,Mar,4,3,45379,17:27:05.304000
17,card,38.7,Robusta,Latte,Night,Thu,Mar,4,3,45379,17:32:44.652000
10,card,38.7,Liberica,Latte,Morning,Fri,Mar,5,3,45380,10:56:19.495000
12,card,38.7,Excelsa,Cappuccino,Afternoon,Fri,Mar,5,3,45380,12:34:17.383000
12,card,38.7,Arabica,Cappuccino,Afternoon,Fri,Mar,5,3,45380,12:41:32.125000
11,card,38.7,Arabica,Latte,Morning,Sat,Mar,6,3,45381,11:59:19.854000
16,card,38.7,Arabica,Latte,Afternoon,Sat,Mar,6,3,45381,16:12:31.786000
16,card,38.7,Robusta,Latte,Afternoon,Sat,Mar,6,3,45381,16:36:40.513000
16,card,33.8,Liberica,Americano with Milk,Afternoon,Sat,Mar,6,3,45381,16:37:57.553000
10,card,38.7,Arabica,Cappuccino,Morning,Sun,Mar,7,3,45382,10:40:04.523000
10,card,46293,Robusta,Americano,Morning,Mon,Apr,1,4,45383,10:28:47.601000
10,card,33.8,Excelsa,Americano with Milk,Morning,Mon,Apr,1,4,45383,10:29:42.318000
10,card,33.8,Robusta,Americano with Milk,Morning,Mon,Apr,1,4,45383,10:30:43.735000
11,card,33.8,Robusta,Americano with Milk,Morning,Mon,Apr,1,4,45383,11:15:43.836000
18,card,33.8,Liberica,Americano with Milk,Night,Mon,Apr,1,4,45383,18:18:42.372000
18,card,38.7,Excelsa,Hot Chocolate,Night,Mon,Apr,1,4,45383,18:45:27.436000
10,card,38.7,Excelsa,Latte,Morning,Tue,Apr,2,4,45384,10:01:14.022000
16,card,46293,Robusta,Americano,Afternoon,Tue,Apr,2,4,45384,16:18:34.169000
16,card,46293,Arabica,Cortado,Afternoon,Tue,Apr,2,4,45384,16:19:28.460000
10,card,46293,Liberica,Cortado,Morning,Wed,Apr,3,4,45385,10:19:13.644000
10,card,46293,Robusta,Americano,Morning,Wed,Apr,3,4,45385,10:20:07.655000
13,card,38.7,Robusta,Cappuccino,Afternoon,Wed,Apr,3,4,45385,13:12:05.367000
10,card,38.7,Arabica,Latte,Morning,Thu,Apr,4,4,45386,10:44:55.988000
11,card,38.7,Liberica,Latte,Morning,Thu,Apr,4,4,45386,11:26:38.085000
11,card,38.7,Robusta,Cappuccino,Morning,Thu,Apr,4,4,45386,11:27:48.411000
12,card,46293,Excelsa,Cortado,Afternoon,Thu,Apr,4,4,45386,12:23:02.216000
10,card,46293,Robusta,Americano,Morning,Fri,Apr,5,4,45387,10:40:42.728000
10,card,46293,Robusta,Americano,Morning,Fri,Apr,5,4,45387,10:42:06.204000
11,card,46293,Arabica,Cortado,Morning,Fri,Apr,5,4,45387,11:06:14.643000
12,card,33.8,Excelsa,Americano with Milk,Afternoon,Fri,Apr,5,4,45387,12:14:27.975000
14,card,38.7,Excelsa,Latte,Afternoon,Fri,Apr,5,4,45387,14:23:40.387000
14,card,46293,Arabica,Cortado,Afternoon,Fri,Apr,5,4,45387,14:24:50.417000
16,card,24.0,Robusta,Espresso,Afternoon,Fri,Apr,5,4,45387,16:18:23.558000
12,card,33.8,Robusta,Americano with Milk,Afternoon,Sat,Apr,6,4,45388,12:32:31.398000
14,card,38.7,Excelsa,Cappuccino,Afternoon,Sat,Apr,6,4,45388,14:13:18.733000
14,card,46293,Robusta,Americano,Afternoon,Sat,Apr,6,4,45388,14:14:27.029000
14,card,38.7,Arabica,Latte,Afternoon,Sat,Apr,6,4,45388,14:49:50.183000
10,card,38.7,Robusta,Latte,Morning,Sun,Apr,7,4,45389,10:12:53.204000
12,card,38.7,Liberica,Cappuccino,Afternoon,Sun,Apr,7,4,45389,12:44:31.936000
12,card,38.7,Liberica,Cappuccino,Afternoon,Sun,Apr,7,4,45389,12:46:05.118000
14,card,46293,Excelsa,Cortado,Afternoon,Sun,Apr,7,4,45389,14:16:24.949000
14,card,24.0,Arabica,Espresso,Afternoon,Sun,Apr,7,4,45389,14:17:30.628000
18,card,38.7,Liberica,Hot Chocolate,Night,Sun,Apr,7,4,45389,18:01:16.608000
18,card,33.8,Robusta,Americano with Milk,Night,Sun,Apr,7,4,45389,18:02:03.878000
10,card,33.8,Excelsa,Americano with Milk,Morning,Mon,Apr,1,4,45390,10:58:21.106000
10,card,38.7,Arabica,Cappuccino,Morning,Mon,Apr,1,4,45390,10:59:27.558000
11,card,46293,Excelsa,Americano,Morning,Mon,Apr,1,4,45390,11:01:20.464000
11,card,38.7,Liberica,Cappuccino,Morning,Mon,Apr,1,4,45390,11:04:47.030000
16,card,38.7,Arabica,Latte,Afternoon,Mon,Apr,1,4,45390,16:41:37.806000
18,card,46293,Excelsa,Americano,Night,Mon,Apr,1,4,45390,18:18:09.713000
19,card,33.8,Excelsa,Americano with Milk,Night,Mon,Apr,1,4,45390,19:22:27.477000
19,card,38.7,Excelsa,Cappuccino,Night,Mon,Apr,1,4,45390,19:23:59.268000
11,card,38.7,Robusta,Latte,Morning,Tue,Apr,2,4,45391,11:42:28.468000
15,card,38.7,Excelsa,Hot Chocolate,Afternoon,Tue,Apr,2,4,45391,15:11:48.720000
17,card,38.7,Liberica,Hot Chocolate,Night,Tue,Apr,2,4,45391,17:25:23.936000
17,card,24.0,Liberica,Espresso,Night,Wed,Apr,3,4,45392,17:55:31.244000
18,card,38.7,Robusta,Cappuccino,Night,Wed,Apr,3,4,45392,18:24:59.290000
20,card,38.7,Robusta,Latte,Night,Wed,Apr,3,4,45392,20:04:05.386000
10,card,46293,Excelsa,Americano,Morning,Thu,Apr,4,4,45393,10:41:23.155000
10,card,46293,Robusta,Americano,Morning,Thu,Apr,4,4,45393,10:42:59.365000
16,card,38.7,Excelsa,Latte,Afternoon,Thu,Apr,4,4,45393,16:35:23.069000
19,card,38.7,Robusta,Cappuccino,Night,Thu,Apr,4,4,45393,19:16:56.588000
19,card,33.8,Robusta,Americano with Milk,Night,Thu,Apr,4,4,45393,19:18:36.619000
19,card,38.7,Liberica,Hot Chocolate,Night,Fri,Apr,5,4,45394,19:03:43.403000
19,card,46293,Excelsa,Cortado,Night,Fri,Apr,5,4,45394,19:38:23.189000
12,card,38.7,Liberica,Latte,Afternoon,Sat,Apr,6,4,45395,12:29:19.823000
12,card,46293,Liberica,Americano,Afternoon,Sat,Apr,6,4,45395,12:43:02.389000
16,card,38.7,Excelsa,Cappuccino,Afternoon,Sat,Apr,6,4,45395,16:18:03.938000
16,card,38.7,Excelsa,Latte,Afternoon,Sat,Apr,6,4,45395,16:19:39.799000
17,card,38.7,Excelsa,Cappuccino,Night,Sat,Apr,6,4,45395,17:51:26.026000
17,card,38.7,Arabica,Cappuccino,Night,Sat,Apr,6,4,45395,17:53:19.237000
12,card,38.7,Excelsa,Cappuccino,Afternoon,Sun,Apr,7,4,45396,12:24:39.028000
13,card,46293,Liberica,Cortado,Afternoon,Sun,Apr,7,4,45396,13:21:49.808000
14,card,46293,Liberica,Americano,Afternoon,Sun,Apr,7,4,45396,14:23:31.631000
14,card,46293,Arabica,Americano,Afternoon,Sun,Apr,7,4,45396,14:24:26.930000
14,card,46293,Liberica,Americano,Afternoon,Sun,Apr,7,4,45396,14:25:18.122000
15,card,38.7,Robusta,Cappuccino,Afternoon,Sun,Apr,7,4,45396,15:46:27.733000
16,card,46293,Arabica,Cortado,Afternoon,Sun,Apr,7,4,45396,16:59:54.823000
17,card,38.7,Excelsa,Latte,Night,Sun,Apr,7,4,45396,17:00:45.387000
18,card,38.7,Robusta,Cappuccino,Night,Sun,Apr,7,4,45396,18:38:19.649000
11,card,46293,Arabica,Americano,Morning,Mon,Apr,1,4,45397,11:45:24.619000
17,card,46293,Liberica,Americano,Night,Mon,Apr,1,4,45397,17:01:46.359000
17,card,33.8,Excelsa,Americano with Milk,Night,Mon,Apr,1,4,45397,17:02:49.748000
19,card,33.8,Robusta,Americano with Milk,Night,Mon,Apr,1,4,45397,19:33:03.036000
10,card,33.8,Liberica,Americano with Milk,Morning,Tue,Apr,2,4,45398,10:46:25.706000
12,card,38.7,Excelsa,Cocoa,Afternoon,Tue,Apr,2,4,45398,12:40:47.675000
12,card,46293,Arabica,Cortado,Afternoon,Tue,Apr,2,4,45398,12:52:07.750000
15,card,46293,Liberica,Americano,Afternoon,Tue,Apr,2,4,45398,15:03:16.889000
17,card,33.8,Robusta,Americano with Milk,Night,Tue,Apr,2,4,45398,17:42:04.208000
17,card,38.7,Arabica,Cappuccino,Night,Tue,Apr,2,4,45398,17:43:22.960000
18,card,38.7,Liberica,Cocoa,Night,Tue,Apr,2,4,45398,18:09:05.273000
13,card,46293,Liberica,Americano,Afternoon,Wed,Apr,3,4,45399,13:32:59.792000
13,card,24.0,Liberica,Espresso,Afternoon,Wed,Apr,3,4,45399,13:44:00.181000
17,card,38.7,Robusta,Cappuccino,Night,Wed,Apr,3,4,45399,17:01:35.149000
17,card,38.7,Liberica,Cappuccino,Night,Wed,Apr,3,4,45399,17:02:40.687000
18,card,46293,Robusta,Cortado,Night,Wed,Apr,3,4,45399,18:14:03.229000
11,card,46293,Excelsa,Americano,Morning,Thu,Apr,4,4,45400,11:19:01.693000
11,card,46293,Excelsa,Americano,Morning,Thu,Apr,4,4,45400,11:20:05.696000
13,card,33.8,Liberica,Americano with Milk,Afternoon,Thu,Apr,4,4,45400,13:49:12.720000
13,card,46293,Robusta,Cortado,Afternoon,Thu,Apr,4,4,45400,13:50:17.285000
14,card,38.7,Liberica,Cappuccino,Afternoon,Thu,Apr,4,4,45400,14:34:19.818000
14,card,38.7,Excelsa,Latte,Afternoon,Thu,Apr,4,4,45400,14:35:49.354000
17,card,38.7,Robusta,Latte,Night,Thu,Apr,4,4,45400,17:44:15.791000
18,card,38.7,Excelsa,Cappuccino,Night,Thu,Apr,4,4,45400,18:21:05.945000
19,card,38.7,Excelsa,Hot Chocolate,Night,Thu,Apr,4,4,45400,19:39:51.193000
19,card,38.7,Liberica,Hot Chocolate,Night,Thu,Apr,4,4,45400,19:40:48.954000
10,card,38.7,Liberica,Latte,Morning,Fri,Apr,5,4,45401,10:10:36.254000
13,card,33.8,Robusta,Americano with Milk,Afternoon,Fri,Apr,5,4,45401,13:11:47.848000
13,card,38.7,Liberica,Cappuccino,Afternoon,Fri,Apr,5,4,45401,13:13:20.876000
13,card,38.7,Liberica,Hot Chocolate,Afternoon,Fri,Apr,5,4,45401,13:58:54.064000
13,card,38.7,Liberica,Cappuccino,Afternoon,Fri,Apr,5,4,45401,13:59:49.690000
18,card,38.7,Liberica,Cocoa,Night,Fri,Apr,5,4,45401,18:23:19.311000
18,card,33.8,Excelsa,Americano with Milk,Night,Fri,Apr,5,4,45401,18:25:33.440000
12,card,33.8,Robusta,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,12:08:35.701000
12,card,33.8,Liberica,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,12:09:42.664000
13,card,46293,Excelsa,Americano,Afternoon,Sat,Apr,6,4,45402,13:08:37.378000
13,card,33.8,Robusta,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,13:09:47.905000
13,card,38.7,Excelsa,Hot Chocolate,Afternoon,Sat,Apr,6,4,45402,13:10:55.151000
14,card,38.7,Robusta,Cappuccino,Afternoon,Sat,Apr,6,4,45402,14:44:18.118000
15,card,33.8,Robusta,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,15:11:00.330000
15,card,32.82,Liberica,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,15:22:40.717000
15,card,32.82,Robusta,Americano with Milk,Afternoon,Sat,Apr,6,4,45402,15:49:25.148000
18,card,37.72,Liberica,Cappuccino,Night,Sat,Apr,6,4,45402,18:27:41.496000
18,card,37.72,Excelsa,Cappuccino,Night,Sat,Apr,6,4,45402,18:28:46.900000
19,card,37.72,Robusta,Latte,Night,Sat,Apr,6,4,45402,19:30:55.317000
11,card,37.72,Arabica,Latte,Morning,Sun,Apr,7,4,45403,11:16:45.707000
